"","x"
"640",5
"641",5
"642",3
"643",3
"644",27
"645",2
"646",23
"647",21
"648",2
"649",6
"650",0
"651",8
"652",11
"653",0
"654",9
"655",8
"656",0
"657",2
"658",5
"659",3
"660",5
"661",5
"662",21
"663",1
"664",5
"665",19
"666",32
"667",2
"668",22
"669",3
"670",6
"671",5
"672",9
"673",0
"674",0
"675",9
"676",0
"677",8
"678",0
"679",1
"680",1
"681",1
"682",3
"683",4
"684",26
"685",5
"686",4
"687",8
"688",8
"689",0
"690",3
"691",12
"692",4
"693",3
"694",8
"695",9
"696",0
"697",0
"698",0
"699",0
"700",0
"701",3
"702",12
"703",2
"704",4
"705",7
"706",5
"707",0
"708",0
"709",9
"710",5
"711",16
"712",12
"713",0
"714",3
"715",10
"716",0
"717",3
"718",10
"719",10
"720",3
"721",0
"722",5
"723",1
"724",2
"725",0
"726",2
"727",16
"728",6
"729",8
"730",0
"731",19
"732",3
"733",0
"734",12
"735",14
"736",2
"737",0
"738",3
"739",18
"740",5
"741",0
"742",13
"743",0
"744",6
"745",0
"746",5
"747",12
"748",10
"749",4
"750",4
"751",0
"752",13
"753",14
"754",14
"755",9
"756",0
"757",0
"758",20
"759",10
"760",6
"761",11
"762",12
"763",2
"764",17
"765",10
"766",3
"767",3
"768",3
"769",2
"770",8
"771",3
"772",4
"773",4
"774",0
"775",0
"776",6
"777",0
"778",1
"779",17
"780",0
"781",6
"782",6
"783",9
"784",3
"785",5
"786",24
"787",0
"788",6
"789",25
"790",5
"791",5
"792",5
"793",0
"794",0
"795",0
"796",7
"797",3
"798",11
"799",16
"800",15
"801",3
"802",6
"803",7
"804",4
"805",8
"806",5
"807",5
"808",0
"809",0
"810",60
"811",6
"812",10
"813",0
"814",0
"815",0
"816",7
"817",0
"818",9
"819",6
"820",1
"821",7
"822",4
"823",0
"824",12
"825",0
"826",1
"827",3
"828",5
"829",5
"830",27
"831",0
"832",0
"833",4
"834",0
"835",18
"836",0
"837",0
"838",29
"839",0
"840",0
"841",7
"842",1
"843",0
"844",0
"845",0
"846",1
"847",34
"848",0
"849",12
"850",2
"851",5
"852",3
"853",0
"854",0
"855",7
"856",0
"857",14
"858",0
"859",0
"860",21
"861",0
"862",7
"863",13
"864",7
"865",8
"866",15
"867",1
"868",4
"869",1
"870",2
"871",0
"872",0
"873",24
"874",5
"875",7
"876",0
"877",11
"878",0
"879",6
"880",15
"881",0
"882",8
"883",0
"884",9
"885",1
"886",1
"887",16
"888",11
"889",0
"890",0
"891",0
"892",26
"893",28
"894",0
"895",12
"896",10
"897",31
"898",0
"899",6
"900",5
"901",7
"902",37
"903",44
"904",4
"905",21
"906",4
"907",0
"908",3
"909",0
"910",4
"911",1
"912",0
"913",0
"914",7
"915",3
"916",0
"917",3
"918",5
"919",1
"920",5
"921",14
"922",5
"923",0
"924",13
"925",0
"926",6
"927",5
"928",42
"929",8
"930",2
"931",7
"932",3
"933",23
"934",0
"935",10
"936",1
"937",1
"938",6
"939",0
"940",6
"941",1
"942",22
"943",8
"944",1
"945",25
"946",2
"947",1
"948",5
"949",2
"950",2
"951",0
"952",18
"953",10
"954",10
"955",0
"956",0
"957",8
"958",3
"959",0
"960",11
"961",0
"962",1
"963",5
"964",0
"965",3
"966",0
"967",4
"968",3
"969",10
"970",3
"971",1
"972",0
"973",10
"974",18
"975",0
"976",4
"977",3
"978",2
"979",0
"980",25
"981",3
"982",10
"983",6
"984",3
"985",4
"986",11
"987",0
"988",6
"989",9
"990",3
"991",31
"992",0
"993",28
"994",14
"995",3
"996",22
"997",1
"998",12
"999",7
"1000",5
"1001",7
"1002",19
"1003",0
"1004",25
"1005",0
"1006",2
"1007",8
"1008",10
"1009",0
"1010",1
"1011",0
"1012",0
"1013",10
"1014",0
"1015",8
"1016",1
"1017",7
"1018",0
"1019",4
"1020",11
"1021",4
"1022",0
"1023",3
"1024",1
"1025",17
"1026",0
"1027",0
"1028",11
"1029",15
"1030",29
"1031",20
"1032",1
"1033",0
"1034",32
"1035",6
"1036",10
"1037",19
"1038",0
"1039",4
"1040",5
"1041",4
"1042",5
"1043",0
"1044",5
"1045",16
"1046",9
"1047",0
"1048",18
"1049",0
"1050",7
"1051",4
"1052",25
"1053",2
